Enter a street name to search for: Real Estate Search
['0186324', ['Land Class\nEXEMPT  \n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'EXEMPT'], ['Soil Class', '4'], ['Deeded Acres', '0.05'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0186313', ['Land Class\nEXEMPT  \n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'EXEMPT'], ['Soil Class', '4'], ['Deeded Acres', '0.06'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0447327', ['Land Class\nCOMMERCL\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'COMMERCL'], ['Soil Class', '4'], ['Deeded Acres', '0.54'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0073737', ['Land Class\nEXEMPT  \n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'EXEMPT'], ['Soil Class', '4'], ['Deeded Acres', '11.38'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0362132', ['Land Class\nEXEMPT  \n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'EXEMPT'], ['Soil Class', '4'], ['Deeded Acres', '0.10'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0119521', ['Land Class\nEXEMPT  \n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'EXEMPT'], ['Soil Class', '4'], ['Deeded Acres', '0.01'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0447323', ['Land Class\nCOMMERCL\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'COMMERCL'], ['Soil Class', '4'], ['Deeded Acres', '0.01'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0447326', ['Land Class\nCOMMERCL\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'COMMERCL'], ['Soil Class', '4'], ['Deeded Acres', '0.26'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0035320', ['Land Class\nR-<10-HS\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'R-<10-HS'], ['Soil Class', '4'], ['Deeded Acres', '0.14'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0447325', ['Land Class\nCOMMERCL\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'COMMERCL'], ['Soil Class', '4'], ['Deeded Acres', '0.02'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0031876', ['Land Class\nR-<10-HS\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'R-<10-HS'], ['Soil Class', '4'], ['Deeded Acres', '0.15'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
